blknr,bez,bezname,plr,blktypname,ewk,area,datum,verbrauch_,verbrauc_1,verbrauc_2,blknr_2,bez_2,bezname_2,plr_2,blktypna_1,ewk_2,area_2,datum_2
"020041","04",Charlottenburg-Wilmersdorf,"04300517",Block,100-999 Einwohner,9360.779296875000000,1993/11/10 00:00:00.000,759.284999999999968,697.822000000000003,775.240999999999985,"020041","04",Charlottenburg-Wilmersdorf,"04300517",Block,100-999 Einwohner,9360.779296875000000,1993/11/10 00:00:00.000
"020042","04",Charlottenburg-Wilmersdorf,"04300517",Block,100-999 Einwohner,17651.447265625000000,1993/07/01 00:00:00.000,776.105999999999995,910.192000000000007,823.197999999999979,"020042","04",Charlottenburg-Wilmersdorf,"04300517",Block,100-999 Einwohner,17651.447265625000000,1993/07/01 00:00:00.000
"020043","04",Charlottenburg-Wilmersdorf,"04300517",Block,100-999 Einwohner,15406.279296875000000,1993/07/01 00:00:00.000,,,,"020043","04",Charlottenburg-Wilmersdorf,"04300517",Block,100-999 Einwohner,15406.279296875000000,1993/07/01 00:00:00.000
"020044","04",Charlottenburg-Wilmersdorf,"04300517",Block,100-999 Einwohner,11569.536132812501819,1993/07/01 00:00:00.000,758.736999999999966,790.390999999999963,747.482999999999947,"020044","04",Charlottenburg-Wilmersdorf,"04300517",Block,100-999 Einwohner,11569.536132812501819,1993/07/01 00:00:00.000
"020045","04",Charlottenburg-Wilmersdorf,"04300517",Block,100-999 Einwohner,10011.813476562500000,1993/06/30 00:00:00.000,1184.801999999999907,1441.295000000000073,1263.403000000000020,"020045","04",Charlottenburg-Wilmersdorf,"04300517",Block,100-999 Einwohner,10011.813476562500000,1993/06/30 00:00:00.000
"020050","04",Charlottenburg-Wilmersdorf,"04300518",Block,100-999 Einwohner,7815.945312500000000,1994/06/01 00:00:00.000,,,,"020050","04",Charlottenburg-Wilmersdorf,"04300518",Block,100-999 Einwohner,7815.945312500000000,1994/06/01 00:00:00.000
"020051","04",Charlottenburg-Wilmersdorf,"04300518",Block,100-999 Einwohner,21565.632812500000000,1997/08/20 00:00:00.000,2526.905000000000200,2886.641999999999825,2697.878000000000156,"020051","04",Charlottenburg-Wilmersdorf,"04300518",Block,100-999 Einwohner,21565.632812500000000,1997/08/20 00:00:00.000
"020052","04",Charlottenburg-Wilmersdorf,"04300518",Block,100-999 Einwohner,10858.265625000000000,1994/06/01 00:00:00.000,1787.604000000000042,1846.650000000000091,1750.035000000000082,"020052","04",Charlottenburg-Wilmersdorf,"04300518",Block,100-999 Einwohner,10858.265625000000000,1994/06/01 00:00:00.000
"020053","04",Charlottenburg-Wilmersdorf,"04300518",Block,100-999 Einwohner,10324.307617187500000,1994/06/01 00:00:00.000,1317.288000000000011,1358.741999999999962,1364.705999999999904,"020053","04",Charlottenburg-Wilmersdorf,"04300518",Block,100-999 Einwohner,10324.307617187500000,1994/06/01 00:00:00.000
"020054","04",Charlottenburg-Wilmersdorf,"04300518",Block,unbewohnt,8621.159179687500000,1994/06/01 00:00:00.000,,,,"020054","04",Charlottenburg-Wilmersdorf,"04300518",Block,unbewohnt,8621.159179687500000,1994/06/01 00:00:00.000
"020055","04",Charlottenburg-Wilmersdorf,"04300518",Block,100-999 Einwohner,77514.328125000014552,1994/11/24 00:00:00.000,3427.422000000000025,3848.327999999999975,3368.990999999999985,"020055","04",Charlottenburg-Wilmersdorf,"04300518",Block,100-999 Einwohner,77514.328125000014552,1994/11/24 00:00:00.000
"020057","04",Charlottenburg-Wilmersdorf,"04300518",Block,100-999 Einwohner,6223.313964843750000,1994/06/01 00:00:00.000,1173.019999999999982,1440.946999999999889,1269.805000000000064,"020057","04",Charlottenburg-Wilmersdorf,"04300518",Block,100-999 Einwohner,6223.313964843750000,1994/06/01 00:00:00.000
"020058","04",Charlottenburg-Wilmersdorf,"04300518",Block,100-999 Einwohner,5485.676757812500909,1994/06/01 00:00:00.000,,,,"020058","04",Charlottenburg-Wilmersdorf,"04300518",Block,100-999 Einwohner,5485.676757812500909,1994/06/01 00:00:00.000
"020059","04",Charlottenburg-Wilmersdorf,"04300518",Block,100-999 Einwohner,12303.541992187500000,1994/06/01 00:00:00.000,,,,"020059","04",Charlottenburg-Wilmersdorf,"04300518",Block,100-999 Einwohner,12303.541992187500000,1994/06/01 00:00:00.000
"020670","04",Charlottenburg-Wilmersdorf,"04300517",Block,100-999 Einwohner,43202.726562500000000,1993/06/30 00:00:00.000,1286.863000000000056,1471.530999999999949,1206.599999999999909,"020670","04",Charlottenburg-Wilmersdorf,"04300517",Block,100-999 Einwohner,43202.726562500000000,1993/06/30 00:00:00.000
"020672","04",Charlottenburg-Wilmersdorf,"04300518",Block,100-999 Einwohner,13669.580078125000000,1995/08/02 00:00:00.000,2477.594000000000051,2584.891999999999825,2458.764000000000124,"020672","04",Charlottenburg-Wilmersdorf,"04300518",Block,100-999 Einwohner,13669.580078125000000,1995/08/02 00:00:00.000
"020673","04",Charlottenburg-Wilmersdorf,"04300518",Block,100-999 Einwohner,12674.413085937500000,1994/10/19 00:00:00.000,347.584999999999980,393.923000000000002,385.178999999999974,"020673","04",Charlottenburg-Wilmersdorf,"04300518",Block,100-999 Einwohner,12674.413085937500000,1994/10/19 00:00:00.000
"020691","04",Charlottenburg-Wilmersdorf,"04300517",Block,100-999 Einwohner,34357.222656250000000,1994/11/24 00:00:00.000,4037.688999999999851,4562.345999999999549,4084.353999999999814,"020021","04",Charlottenburg-Wilmersdorf,"04300517",Block,unbewohnt,5655.184570312500000,1994/11/24 00:00:00.000
"020902","04",Charlottenburg-Wilmersdorf,"04300517",Bahnblock,unbewohnt,44769.953125000000000,1994/11/24 00:00:00.000,,,,"019692","04",Charlottenburg-Wilmersdorf,"04300518",Block,unbewohnt,96460.437500000000000,2007/05/21 00:00:00.000
"021060","04",Charlottenburg-Wilmersdorf,"04300518",Block,100-999 Einwohner,15312.609375000000000,1993/07/01 00:00:00.000,880.965000000000032,1146.894999999999982,1206.590999999999894,"021060","04",Charlottenburg-Wilmersdorf,"04300518",Block,100-999 Einwohner,15312.609375000000000,1993/07/01 00:00:00.000
"021061","04",Charlottenburg-Wilmersdorf,"04300518",Block,100-999 Einwohner,130373.609375000000000,2003/06/18 00:00:00.000,1722.715999999999894,2045.199000000000069,1831.509000000000015,"021061","04",Charlottenburg-Wilmersdorf,"04300518",Block,100-999 Einwohner,130373.609375000000000,2003/06/18 00:00:00.000
"021062","04",Charlottenburg-Wilmersdorf,"04300518",Block,100-999 Einwohner,26549.175781250000000,1994/11/24 00:00:00.000,2912.802999999999884,3440.173999999999978,3063.831999999999880,"021062","04",Charlottenburg-Wilmersdorf,"04300518",Block,100-999 Einwohner,26549.175781250000000,1994/11/24 00:00:00.000
